Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date,Placement_Offer_Count
72,89,76,82,2019,2
66,76,71,97,2020,3
66,81,77,98,2021,3
77,82,64,90,2021,3
69,81,70,80,2020,2
94,80,75,75,2019,2
79,87,73,81,2018,2
72,78,67,82,2019,2
73,79,77,94,2020,1
79,90,77,94,2020,3
66,81,71,98,2020,3
92,77,65,86,2020,3
62,82,76,89,2020,3
74,92,75,81,2020,2
60,,62,76,2019,2
61,93,77,91,2018,3
80,78,80,82,2020,2
77,90,66,92,2021,3
72,89,78,88,2020,3
65,79,78,77,2021,2
63,75,75,86,2020,3
,76,72,89,2020,3
63,91,75,100,2020,3
78,84,78,76,2019,2
74,81,67,90,2021,3
70,76,75,91,2019,3
70,78,71,92,2019,3
72,84,78,89,2021,3
77,79,77,86,2021,3
79,82,70,97,2018,3
